ID	Precision	Recall	F1
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	0	0
115	0.33333334	1.0	0.5
116	0	0	0
117	0.1923077	1.0	0.32258064
118	0	0	0
119	0	0	0
120	1.0	1.0	1.0
121	0	0	0
122	0.8888889	0.8888889	0.8888889
123	0	0	0
124	0.23255815	1.0	0.3773585
125	0	0	0
126	1.0	1.0	1.0
127	0	0	0
128	0	0	0
129	0	0	0
130	0	0	0
131	1.0	1.0	1.0
132	0	0	0
133	0	0	0
134	0	0	0
135	0	0	0
136	0	0	0
137	0.08235294	1.0	0.1521739
138	0	0	0
139	3.0E-4	0.026086956	5.931785E-4
140	0	0	0
141	0	0	0
142	0	0	0
143	0	0	0
144	0	0	0
145	0	0	0
146	1.0	1.0	1.0
147	0.875	0.46666667	0.6086956
148	0	0	0
149	1.0	1.0	1.0
150	0	0	0
151	0	0	0
152	0	0	0
153	0	0	0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	1.0	1.0	1.0
161	0	0	0
162	0	0	0
163	0	0	0
164	0.10154525	1.0	0.18436874
165	0	0	0
166	1.0	1.0	1.0
167	0.95	1.0	0.9743589
168	0	0	0
169	0	0	0
170	0	0	0
171	0	0	0
172	0.5	1.0	0.6666667
173	0	0	0
174	1.0	1.0	1.0
175	0	0	0
176	0	0	0
177	1.0	0.5	0.6666667
178	0	0	0
179	0.013354037	1.0	0.026356112
180	0	0	0
181	0	0	0
182	0	0	0
183	0	0	0
184	0	0	0
185	0	0	0
186	0	0	0
187	1.0	1.0	1.0
188	1.0	1.0	1.0
189	0	0	0
190	0	0	0
191	0	0	0
192	0	0	0
193	0	0	0
194	1.0	1.0	1.0
195	0	0	0
196	0	0	0
197	1.0	1.0	1.0
198	1.0	1.0	1.0
199	0	0	0
200	0	0	0
201	1.0	1.0	1.0
202	0	0	0
203	1.0	1.0	1.0
204	0	0	0
205	0.18181819	1.0	0.3076923
206	1.0	1.0	1.0
207	0	0	0
208	0	0	0
209	1.0	1.0	1.0
210	0	0	0
211	0	0	0
212	0	0	0
213	0	0	0
214	1.0	1.0	1.0
215	0.33333334	0.5	0.4
216	1.0	1.0	1.0
217	1.0	1.0	1.0
218	0	0	0
219	0	0	0
220	1.0	1.0	1.0
221	1.0	1.0	1.0
222	0	0	0
223	0	0	0
224	1.0	1.0	1.0
225	0	0	0
226	1.0	1.0	1.0
227	1.0	1.0	1.0
229	0	0	0
230	1.0	1.0	1.0
231	0	0	0
232	0	0	0
233	1.0	1.0	1.0
234	1.0	1.0	1.0
235	1.0	1.0	1.0
236	0	0	0
237	0	0	0
238	0	0	0
239	1.0	1.0	1.0
241	0	0	0
242	1.0	1.0	1.0
243	1.0	1.0	1.0
244	0	0	0
245	0	0	0
246	0.5	0.14285715	0.22222224
247	1.0	1.0	1.0
248	0.125	1.0	0.22222222
249	0	0	0
250	0	0	0
251	1.0	1.0	1.0
252	1.0	0.5	0.6666667
253	0	0	0
254	1.0	1.0	1.0
255	0	0	0
256	0	0	0
257	0	0	0
258	0	0	0
259	0	0	0
260	0	0	0
262	0	0	0
263	0.0010504202	1.0	0.0020986358
264	1.0	1.0	1.0
265	1.0	1.0	1.0
266	0	0	0
267	1.0	1.0	1.0
268	1.0	1.0	1.0
269	0	0	0
270	1.0	1.0	1.0
271	0	0	0
273	0	0	0
274	0	0	0
275	0	0	0
276	1.0	1.0	1.0
278	0	0	0
279	0	0	0
280	0	0	0
281	0	0	0
282	0.06866953	1.0	0.12851405
283	1.0	1.0	1.0
284	0	0	0
285	0	0	0
286	0	0	0
287	1.0	1.0	1.0
288	0	0	0
289	0	0	0
290	0	0	0
291	1.0	1.0	1.0
292	0	0	0
293	0	0	0
294	1.0	1.0	1.0
295	0	0	0
296	0	0	0
297	0	0	0
298	0	0	0
299	0	0	0
300	0	0	0
301	1.0	1.0	1.0
302	0	0	0
303	1.0	1.0	1.0
304	0	0	0
305	0	0	0
306	1.0	1.0	1.0
307	0	0	0
308	0	0	0
309	0	0	0
310	1.0	1.0	1.0
311	0	0	0
312	1.0	1.0	1.0
313	1.0	1.0	1.0
314	0	0	0
315	0	0	0
316	0	0	0
317	1.0	1.0	1.0
318	1.0	1.0	1.0
319	0	0	0
320	0.25	1.0	0.4
321	0.041666668	1.0	0.080000006
322	0	0	0
323	0.5	0.07317073	0.12765957
324	0	0	0
325	0	0	0
326	1.0	1.0	1.0
327	0	0	0
328	0.045454547	1.0	0.08695653
329	0	0	0
330	0	0	0
331	0	0	0
332	0	0	0
333	1.0	1.0	1.0
334	1.0	1.0	1.0
335	0	0	0
336	0	0	0
337	1.0	1.0	1.0
338	1.0	1.0	1.0
339	0	0	0
340	0	0	0
341	0	0	0
342	0	0	0
343	0	0	0
344	0	0	0
345	0	0	0
346	0	0	0
347	0.2857143	0.6666667	0.4
348	1.0	1.0	1.0
349	0	0	0
350	0	0	0
351	0	0	0
352	0	0	0
353	0	0	0
354	0	0	0
355	0	0	0
356	1.0	1.0	1.0
357	0	0	0
358	0	0	0
359	1.0	1.0	1.0
360	0	0	0
361	1.0	1.0	1.0
362	0	0	0
363	1.0	1.0	1.0
364	0	0	0
365	0	0	0
366	1.0	1.0	1.0
367	0	0	0
368	1.0	1.0	1.0
369	0	0	0
370	0	0	0
371	0	0	0
372	0	0	0
373	0	0	0
374	0	0	0
375	0	0	0
376	1.0	1.0	1.0
377	1.0	1.0	1.0
378	0.0052539404	1.0	0.010452962
379	0	0	0
380	1.0	1.0	1.0
381	0	0	0
382	1.0	1.0	1.0
383	0	0	0
384	1.0	0.25	0.4
385	0	0	0
386	1.0	1.0	1.0
387	0	0	0
388	1.0	1.0	1.0
389	0.01754386	1.0	0.03448276
390	0.048780486	1.0	0.093023255
391	0	0	0
392	1.0	1.0	1.0
393	0	0	0
394	0	0	0
395	0	0	0
396	1.0	1.0	1.0
397	0	0	0
398	0	0	0
399	0	0	0
400	1.0	1.0	1.0
401	0	0	0
402	1.0	1.0	1.0
403	0	0	0
404	0	0	0
405	1.0	1.0	1.0
406	0	0	0
407	0.006802721	1.0	0.013513514
408	0	0	0
409	0	0	0
410	0	0	0
411	0	0	0
412	1.0	1.0	1.0
413	0	0	0
